No,Category,Material Number,Detail Item,UoM,Harga Kontrak 1,Harga Kontrak 2,Harga Kontrak 3,PENAWARAN SAAT KONTRAK KE-3,Harga Planning Kontrak 4,Strategy,Keterangan
111,Sanitary,SNT016,3M Scotch Brite Sarung Tangan Karet Serbaguna,Pack,,Rp 38.000,Rp 38.000,"Rp 39,500",Rp 39.500,PRICE_UP,
112,Sanitary,SNT017,"ISTANCE Hand Sanitizer Gel, Jerigen isi 4 liter",Jerigan,,,,"Rp 220,000",Rp 220.000,NEW_ITEM,
113,Sanitary,SNT018,Baygon aerosol flower garden 600ml,Can,Rp 39.000,Rp 39.000,,"Rp 40,000",Rp 40.000,PRICE_UP,
114,Sanitary,SNT019,Rapika 3in1 refill pouch 400ml,Pcs,,,,"Rp 7,100",Rp 7.100,NEW_ITEM,
115,Sanitary,SNT020,Paper for air freshner include fragance,Pcs,,,,,,NO_PRICE,
116,Sanitary,SNT021,"Microfiber Cloth, No Spesific brand",Pcs,Rp 11.000,Rp 11.000,Rp 11.000,"Rp 12,000",Rp 12.000,PRICE_UP,
117,Sanitary,SNT022,"""Swallow""  Kapur Barus 5 Ball",Pack,,Rp 22.000,Rp 23.000,"Rp 24,000",Rp 24.000,PRICE_UP,
118,Sanitary,SNT023,Kantong plastik size 8-10 Kg / 28*48 cm,Pack,,Rp 14.600,,"Rp 15,500",Rp 15.500,PRICE_UP,
119,Sanitary,SNT024,Dahlia Air Freshener Aerosol 200ml,Bottle,Rp 19.500,Rp 19.500,Rp 19.500,"Rp 20,000",Rp 20.000,PRICE_UP,
120,Sanitary,SNT025,Dahlia Pengharum Air Freshener Heritage Series Teh Keraton 75 gr,Pcs,Rp 13.000,Rp 13.000,Rp 13.000,"Rp 14,500",Rp 14.500,PRICE_UP,
121,Sanitary,SNT026,Dahlia Heritage Air Freshener Aerosol Automatic Refill 225ml - Teh Keraton,Unit,Rp 36.500,,Rp 35.000,"Rp 35,000",Rp 35.000,CARRY_FORWARD,
122,Sanitary,SNT027,Pantene Nature care 400ml,Pcs,Rp 69.000,,Rp 69.000,"Rp 69,000",Rp 69.000,CARRY_FORWARD,
123,Sanitary,SNT028,NUVO Active Antibacterial Body Wash Cool Refill 400 ml,Pcs,,,Rp 17.000,"Rp 17,000",Rp 17.000,CARRY_FORWARD,
124,Sanitary,SNT029,SABUN CREAM EKONOMI WANGI LEMON 196 GRAM EL500K,Pcs,,Rp 3.700,Rp 3.700,"Rp 3,900",Rp 3.900,PRICE_UP,
125,Sanitary,SNT030,Detergen Rinso Antinoda (700 gram),Kg,,,Rp 26.000,"Rp 26,000",Rp 26.000,CARRY_FORWARD,
126,Sanitary,SNT031,Rinso Molto Liquid Detergen Anti Noda 750ml,Pcs,Rp 19.800,Rp 19.800,,"Rp 23,000",Rp 23.000,PRICE_UP,
127,Sanitary,SNT032,Yuri Dishwasher Ligent Jerigen 3700 Ml,Pack,,Rp 95.000,,"Rp 98,000",Rp 98.000,PRICE_UP,
128,Sanitary,SNT033,SOS hand Soap Jerican 4L,Jerigan,,Rp 85.000,Rp 85.000,"Rp 85,000",Rp 85.000,CARRY_FORWARD,
129,Sanitary,SNT034,Downy Softener pouch 600ml,Pcs,,Rp 26.000,Rp 27.000,"Rp 28,000",Rp 28.000,PRICE_UP,
130,Sanitary,SNT035,"Sponge dishwasher ""3m scotch brite spon hijau""",Pcs,,,,"Rp 6,000",Rp 6.000,NEW_ITEM,
131,Sanitary,SNT036,EZCLEAN STAINLESS CLEANER,Pcs,Rp 61.000,Rp 61.000,Rp 61.000,"Rp 63,000",Rp 63.000,PRICE_UP,
132,Sanitary,SNT037,Dishwasher Steel Fiber,Pcs,,,Rp 5.300,"Rp 5,300",Rp 5.300,CARRY_FORWARD,
133,Sanitary,SNT038,Facial tissue tessa 250 sheets 2 ply,Pack,,,Rp 12.000,"Rp 12,000",Rp 12.000,CARRY_FORWARD,
